scenario,x_m,pH,total_so4_m,total_uo2_m,total_hco3_m,total_ca_m,calcite_vf
no_calcite,1.5,3.000039,0.005,1e-06,9.999154e-07,9.999868e-07,0.0
no_calcite,2.5,3.000039,0.005,1e-06,9.999154e-07,9.999868e-07,0.0
no_calcite,3.5,3.000039,0.005,1e-06,9.999154e-07,9.999868e-07,0.0
no_calcite,4.5,3.000039,0.005,9.999999e-07,9.999154e-07,9.999868e-07,0.0
no_calcite,5.5,3.000039,0.005,9.999999e-07,9.999153e-07,9.999868e-07,0.0
no_calcite,6.5,3.000039,0.005,9.999999e-07,9.999153e-07,9.999868e-07,0.0
no_calcite,7.5,3.000039,0.005,9.999999e-07,9.999153e-07,9.999868e-07,0.0
no_calcite,8.5,3.000039,0.004999999,9.999999e-07,9.999153e-07,9.999868e-07,0.0
no_calcite,9.5,3.000039,0.004999999,9.999999e-07,9.999153e-07,9.999867e-07,0.0
no_calcite,10.5,3.000039,0.004999999,9.999999e-07,9.999153e-07,9.999867e-07,0.0
no_calcite,11.5,3.000039,0.004999999,9.999999e-07,9.999153e-07,9.999867e-07,0.0
no_calcite,12.5,3.000039,0.004999999,9.999998e-07,9.999153e-07,9.999867e-07,0.0
no_calcite,13.5,3.000039,0.004999999,9.999998e-07,9.999152e-07,9.999867e-07,0.0
no_calcite,14.5,3.000039,0.004999999,9.999998e-07,9.999152e-07,9.999867e-07,0.0
no_calcite,15.5,3.000039,0.004999999,9.999998e-07,9.999152e-07,9.999867e-07,0.0
no_calcite,16.5,3.000039,0.004999999,9.999998e-07,9.999152e-07,9.999867e-07,0.0
no_calcite,17.5,3.000039,0.004999999,9.999998e-07,9.999152e-07,9.999866e-07,0.0
no_calcite,18.5,3.000039,0.004999999,9.999998e-07,9.999152e-07,9.999866e-07,0.0
no_calcite,19.5,3.000039,0.004999999,9.999998e-07,9.999152e-07,9.999866e-07,0.0
no_calcite,20.5,3.000039,0.004999999,9.999997e-07,9.999152e-07,9.999866e-07,0.0
no_calcite,21.5,3.000039,0.004999999,9.999997e-07,9.999151e-07,9.999866e-07,0.0
no_calcite,22.5,3.000039,0.004999999,9.999997e-07,9.999151e-07,9.999866e-07,0.0
no_calcite,23.5,3.000039,0.004999998,9.999997e-07,9.999151e-07,9.999866e-07,0.0
no_calcite,24.5,3.000039,0.004999998,9.999997e-07,9.999151e-07,9.999866e-07,0.0
no_calcite,25.5,3.000039,0.004999998,9.999997e-07,9.999151e-07,9.999865e-07,0.0
no_calcite,26.5,3.000039,0.004999998,9.999997e-07,9.999151e-07,9.999865e-07,0.0
no_calcite,27.5,3.000039,0.004999998,9.999996e-07,9.999151e-07,9.999865e-07,0.0
no_calcite,28.5,3.000039,0.004999998,9.999996e-07,9.999151e-07,9.999865e-07,0.0
no_calcite,29.5,3.000039,0.004999998,9.999996e-07,9.999151e-07,9.999865e-07,0.0
no_calcite,30.5,3.000039,0.004999998,9.999996e-07,9.999151e-07,9.999865e-07,0.0
no_calcite,31.5,3.000039,0.004999998,9.999996e-07,9.999151e-07,9.999865e-07,0.0
no_calcite,32.5,3.000039,0.004999998,9.999996e-07,9.999153e-07,9.999866e-07,0.0
no_calcite,33.5,3.000039,0.004999998,9.999996e-07,9.999155e-07,9.999867e-07,0.0
no_calcite,34.5,3.000039,0.004999998,9.999996e-07,9.999161e-07,9.99987e-07,0.0
no_calcite,35.5,3.000039,0.004999998,9.999995e-07,9.999173e-07,9.999876e-07,0.0
no_calcite,36.5,3.000039,0.004999998,9.999995e-07,9.999195e-07,9.999887e-07,0.0
no_calcite,37.5,3.000039,0.004999998,9.999995e-07,9.99924e-07,9.999909e-07,0.0
no_calcite,38.5,3.000039,0.004999997,9.999995e-07,9.999323e-07,9.999951e-07,0.0
no_calcite,39.5,3.000039,0.004999997,9.999995e-07,9.999477e-07,1.000003e-06,0.0
no_calcite,40.5,3.000039,0.004999997,9.999994e-07,9.999758e-07,1.000017e-06,0.0
no_calcite,41.5,3.000039,0.004999997,9.999994e-07,1.000026e-06,1.000042e-06,0.0
no_calcite,42.5,3.000039,0.004999996,9.999993e-07,1.000113e-06,1.000086e-06,0.0
no_calcite,43.5,3.000039,0.004999996,9.999991e-07,1.000264e-06,1.000161e-06,0.0
no_calcite,44.5,3.000039,0.004999994,9.999988e-07,1.00052e-06,1.000288e-06,0.0
no_calcite,45.5,3.000039,0.004999992,9.999984e-07,1.000945e-06,1.000501e-06,0.0
no_calcite,46.5,3.00004,0.004999989,9.999977e-07,1.001643e-06,1.000849e-06,0.0
no_calcite,47.5,3.000041,0.004999983,9.999965e-07,1.002768e-06,1.001412e-06,0.0
no_calcite,48.5,3.000042,0.004999974,9.999947e-07,1.004558e-06,1.002306e-06,0.0
no_calcite,49.5,3.000045,0.00499996,9.999919e-07,1.007363e-06,1.003707e-06,0.0
no_calcite,50.5,3.000048,0.004999939,9.999876e-07,1.011696e-06,1.005871e-06,0.0
no_calcite,51.5,3.000053,0.004999907,9.99981e-07,1.018295e-06,1.009167e-06,0.0
no_calcite,52.5,3.000061,0.004999858,9.99971e-07,1.028212e-06,1.014121e-06,0.0
no_calcite,53.5,3.000073,0.004999786,9.999563e-07,1.042916e-06,1.021465e-06,0.0
no_calcite,54.5,3.000091,0.00499968,9.999348e-07,1.064438e-06,1.032216e-06,0.0
no_calcite,55.5,3.000116,0.004999527,9.999037e-07,1.095543e-06,1.047752e-06,0.0
no_calcite,56.5,3.000152,0.00499931,9.998593e-07,1.139943e-06,1.06993e-06,0.0
no_calcite,57.5,3.000203,0.004999002,9.997966e-07,1.202559e-06,1.101207e-06,0.0
no_calcite,58.5,3.000273,0.004998574,9.997093e-07,1.289826e-06,1.144797e-06,0.0
no_calcite,59.5,3.000371,0.004997985,9.995891e-07,1.410049e-06,1.204848e-06,0.0
no_calcite,60.5,3.000503,0.004997181,9.994253e-07,1.573811e-06,1.286647e-06,0.0
no_calcite,61.5,3.000682,0.004996099,9.992047e-07,1.79442e-06,1.396841e-06,0.0
no_calcite,62.5,3.000921,0.004994657,9.989107e-07,2.088406e-06,1.543687e-06,0.0
no_calcite,63.5,3.001235,0.004992756,9.985231e-07,2.476039e-06,1.73731e-06,0.0
no_calcite,64.5,3.001646,0.004990275,9.980172e-07,2.981866e-06,1.98997e-06,0.0
no_calcite,65.5,3.002178,0.00498707,9.973639e-07,3.63524e-06,2.31633e-06,0.0
no_calcite,66.5,3.002859,0.004982971,9.965283e-07,4.470821e-06,2.733702e-06,0.0
no_calcite,67.5,3.003723,0.004977781,9.9547e-07,5.52903e-06,3.262277e-06,0.0
no_calcite,68.5,3.00481,0.00497127,9.941427e-07,6.856403e-06,3.925299e-06,0.0
no_calcite,69.5,3.006165,0.00496318,9.924932e-07,8.505836e-06,4.74919e-06,0.0
no_calcite,70.5,3.007838,0.004953219,9.904624e-07,1.053668e-05,5.763594e-06,0.0
no_calcite,71.5,3.00989,0.004941064,9.879844e-07,1.301463e-05,7.001331e-06,0.0
no_calcite,72.5,3.012385,0.004926365,9.849876e-07,1.601145e-05,8.498241e-06,0.0
no_calcite,73.5,3.015397,0.004908742,9.813947e-07,1.96044e-05,1.029292e-05,0.0
no_calcite,74.5,3.019006,0.004887793,9.771236e-07,2.387544e-05,1.24263e-05,0.0
no_calcite,75.5,3.0233,0.004863098,9.720889e-07,2.891019e-05,1.494115e-05,0.0
no_calcite,76.5,3.028378,0.004834226,9.662025e-07,3.479656e-05,1.788139e-05,0.0
no_calcite,77.5,3.034345,0.004800742,9.593759e-07,4.162323e-05,2.129131e-05,0.0
no_calcite,78.5,3.041318,0.004762216,9.515213e-07,4.947784e-05,2.521468e-05,0.0
no_calcite,79.5,3.049424,0.004718233,9.425542e-07,5.844499e-05,2.969377e-05,0.0
no_calcite,80.5,3.0588,0.004668403,9.323951e-07,6.860415e-05,3.476826e-05,0.0
no_calcite,81.5,3.069599,0.004612373,9.209718e-07,8.002748e-05,4.047421e-05,0.0
no_calcite,82.5,3.08199,0.004549834,9.082217e-07,9.277763e-05,4.684291e-05,0.0
no_calcite,83.5,3.096159,0.004480538,8.940938e-07,0.0001069056,5.389982e-05,0.0
no_calcite,84.5,3.112319,0.0044043,8.785507e-07,0.0001224488,6.166362e-05,0.0
no_calcite,85.5,3.13071,0.004321014,8.615704e-07,0.0001394291,7.014529e-05,0.0
no_calcite,86.5,3.151613,0.004230653,8.431479e-07,0.0001578517,7.934736e-05,0.0
no_calcite,87.5,3.175358,0.004133281,8.232961e-07,0.0001777036,8.926337e-05,0.0
no_calcite,88.5,3.202343,0.004029054,8.020468e-07,0.000198953,9.987747e-05,0.0
no_calcite,89.5,3.233057,0.003918222,7.794507e-07,0.0002215493,0.0001111643,0.0
no_calcite,90.5,3.268116,0.003801126,7.555776e-07,0.0002454225,0.0001230889,0.0
no_calcite,91.5,3.308322,0.003678199,7.305155e-07,0.0002704846,0.0001356075,0.0
no_calcite,92.5,3.354747,0.003549957,7.043699e-07,0.0002966304,0.0001486673,0.0
no_calcite,93.5,3.408884,0.003416993,6.772617e-07,0.0003237387,0.0001622078,0.0
no_calcite,94.5,3.472911,0.003279971,6.493259e-07,0.0003516745,0.0001761618,0.0
no_calcite,95.5,3.550193,0.003139608,6.207092e-07,0.0003802913,0.0001904559,0.0
no_calcite,96.5,3.646352,0.002996669,5.915671e-07,0.0004094335,0.0002050123,0.0
no_calcite,97.5,3.77187,0.002851949,5.620619e-07,0.0004389387,0.0002197502,0.0
no_calcite,98.5,3.949829,0.002706269,5.323612e-07,0.0004686395,0.0002345857,0.0
no_calcite,99.5,4.244452,0.002561556,5.028573e-07,0.0004981433,0.0002493229,0.0
