Facility Name,Station ID,Sample Code,Latitude,Longitude,Year,Sample Type,Sample Description,Parameter,Result,Guideline/Screening Levels
Cigar Lake Operation,CL01,CL01-F02B,58.058,-104.405,2020.0,Food,Fish - Lake Whitefish,Uranium,<0.001 mg/kg fresh weight,0.02 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F02B,58.058,-104.405,2020.0,Food,Fish - Lake Whitefish,Zinc,3 mg/kg fresh weight,21.65 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F02B,58.058,-104.405,2020.0,Food,Fish - Lake Whitefish,Polonium-210,3.8 Bq/kg fresh weight,1.22 Bq/kg fresh weight
Cigar Lake Operation,CL01,CL01-F02B,58.058,-104.405,2020.0,Food,Fish - Lake Whitefish,Radium-226,<0.06 Bq/kg fresh weight,5.24 Bq/kg fresh weight 
Cigar Lake Operation,CL01,CL01-F02B,58.058,-104.405,2020.0,Food,Fish - Lake Whitefish,Thorium-230,<0.1 Bq/kg fresh weight,6.98 Bq/kg fresh weight
Cigar Lake Operation,CL01,CL01-F02B,58.058,-104.405,2020.0,Food,Fish - Lake Whitefish,Lead-210,<1 Bq/kg fresh weight,2.12 Bq/kg fresh weight
Cigar Lake Operation,CL01,CL01-F02C,58.058,-104.405,2020.0,Food,Fish - Lake Whitefish,Arsenic,0.02 mg/kg fresh weight,0.07 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F02C,58.058,-104.405,2020.0,Food,Fish - Lake Whitefish,Copper,0.28 mg/kg fresh weight,5.32 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F02C,58.058,-104.405,2020.0,Food,Fish - Lake Whitefish,Lead,<0.002 mg/kg fresh weight,0.07 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F02C,58.058,-104.405,2020.0,Food,Fish - Lake Whitefish,Molybdenum,<0.02 mg/kg fresh weight,0.11 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F02C,58.058,-104.405,2020.0,Food,Fish - Lake Whitefish,Nickel,<0.01 mg/kg fresh weight,0.42 mg/kg fresh weight 
Cigar Lake Operation,CL01,CL01-F02C,58.058,-104.405,2020.0,Food,Fish - Lake Whitefish,Selenium,0.48 mg/kg fresh weight,0.22 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F02C,58.058,-104.405,2020.0,Food,Fish - Lake Whitefish,Uranium,<0.001 mg/kg fresh weight,0.02 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F02C,58.058,-104.405,2020.0,Food,Fish - Lake Whitefish,Zinc,3.5 mg/kg fresh weight,21.65 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F02C,58.058,-104.405,2020.0,Food,Fish - Lake Whitefish,Polonium-210,0.4 Bq/kg fresh weight,1.22 Bq/kg fresh weight
Cigar Lake Operation,CL01,CL01-F02C,58.058,-104.405,2020.0,Food,Fish - Lake Whitefish,Radium-226,<0.06 Bq/kg fresh weight,5.24 Bq/kg fresh weight 
Cigar Lake Operation,CL01,CL01-F02C,58.058,-104.405,2020.0,Food,Fish - Lake Whitefish,Thorium-230,<0.1 Bq/kg fresh weight,6.98 Bq/kg fresh weight
Cigar Lake Operation,CL01,CL01-F02C,58.058,-104.405,2020.0,Food,Fish - Lake Whitefish,Lead-210,<1 Bq/kg fresh weight,2.12 Bq/kg fresh weight
Cigar Lake Operation,CL01,CL01-F03A,58.058,-104.405,2020.0,Food,Fish - Trout,Arsenic,0.01 mg/kg fresh weight,0.07 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F03A,58.058,-104.405,2020.0,Food,Fish - Trout,Copper,0.28 mg/kg fresh weight,5.32 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F03A,58.058,-104.405,2020.0,Food,Fish - Trout,Lead,0.002 mg/kg fresh weight,0.07 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F03A,58.058,-104.405,2020.0,Food,Fish - Trout,Molybdenum,<0.02 mg/kg fresh weight,0.11 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F03A,58.058,-104.405,2020.0,Food,Fish - Trout,Nickel,0.01 mg/kg fresh weight,0.42 mg/kg fresh weight 
Cigar Lake Operation,CL01,CL01-F03A,58.058,-104.405,2020.0,Food,Fish - Trout,Selenium,0.3 mg/kg fresh weight,0.22 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F03A,58.058,-104.405,2020.0,Food,Fish - Trout,Uranium,<0.001 mg/kg fresh weight,0.02 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F03A,58.058,-104.405,2020.0,Food,Fish - Trout,Zinc,3.6 mg/kg fresh weight,21.65 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F03A,58.058,-104.405,2020.0,Food,Fish - Trout,Polonium-210,0.2 Bq/kg fresh weight,1.22 Bq/kg fresh weight
Cigar Lake Operation,CL01,CL01-F03A,58.058,-104.405,2020.0,Food,Fish - Trout,Radium-226,<0.08 Bq/kg fresh weight,5.24 Bq/kg fresh weight 
Cigar Lake Operation,CL01,CL01-F03A,58.058,-104.405,2020.0,Food,Fish - Trout,Thorium-230,<0.2 Bq/kg fresh weight,6.98 Bq/kg fresh weight
Cigar Lake Operation,CL01,CL01-F03A,58.058,-104.405,2020.0,Food,Fish - Trout,Lead-210,<1 Bq/kg fresh weight,2.12 Bq/kg fresh weight
Cigar Lake Operation,CL01,CL01-F03B,58.058,-104.405,2020.0,Food,Fish - Trout,Arsenic,0.04 mg/kg fresh weight,0.07 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F03B,58.058,-104.405,2020.0,Food,Fish - Trout,Copper,0.51 mg/kg fresh weight,5.32 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F03B,58.058,-104.405,2020.0,Food,Fish - Trout,Lead,<0.002 mg/kg fresh weight,0.07 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F03B,58.058,-104.405,2020.0,Food,Fish - Trout,Molybdenum,<0.02 mg/kg fresh weight,0.11 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F03B,58.058,-104.405,2020.0,Food,Fish - Trout,Nickel,<0.01 mg/kg fresh weight,0.42 mg/kg fresh weight 
Cigar Lake Operation,CL01,CL01-F03B,58.058,-104.405,2020.0,Food,Fish - Trout,Selenium,0.24 mg/kg fresh weight,0.22 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F03B,58.058,-104.405,2020.0,Food,Fish - Trout,Uranium,<0.001 mg/kg fresh weight,0.02 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F03B,58.058,-104.405,2020.0,Food,Fish - Trout,Zinc,3.4 mg/kg fresh weight,21.65 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F03B,58.058,-104.405,2020.0,Food,Fish - Trout,Polonium-210,<0.2 Bq/kg fresh weight,1.22 Bq/kg fresh weight
Cigar Lake Operation,CL01,CL01-F03B,58.058,-104.405,2020.0,Food,Fish - Trout,Radium-226,<0.06 Bq/kg fresh weight,5.24 Bq/kg fresh weight 
Cigar Lake Operation,CL01,CL01-F03B,58.058,-104.405,2020.0,Food,Fish - Trout,Thorium-230,<0.1 Bq/kg fresh weight,6.98 Bq/kg fresh weight
Cigar Lake Operation,CL01,CL01-F03B,58.058,-104.405,2020.0,Food,Fish - Trout,Lead-210,<1 Bq/kg fresh weight,2.12 Bq/kg fresh weight
Cigar Lake Operation,CL01,CL01-F03C,58.058,-104.405,2020.0,Food,Fish - Trout,Arsenic,0.04 mg/kg fresh weight,0.07 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F03C,58.058,-104.405,2020.0,Food,Fish - Trout,Copper,0.69 mg/kg fresh weight,5.32 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F03C,58.058,-104.405,2020.0,Food,Fish - Trout,Lead,<0.002 mg/kg fresh weight,0.07 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F03C,58.058,-104.405,2020.0,Food,Fish - Trout,Molybdenum,<0.02 mg/kg fresh weight,0.11 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F03C,58.058,-104.405,2020.0,Food,Fish - Trout,Nickel,<0.01 mg/kg fresh weight,0.42 mg/kg fresh weight 
Cigar Lake Operation,CL01,CL01-F03C,58.058,-104.405,2020.0,Food,Fish - Trout,Selenium,0.71 mg/kg fresh weight,0.22 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F03C,58.058,-104.405,2020.0,Food,Fish - Trout,Uranium,<0.001 mg/kg fresh weight,0.02 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F03C,58.058,-104.405,2020.0,Food,Fish - Trout,Zinc,4.5 mg/kg fresh weight,21.65 mg/kg fresh weight
Cigar Lake Operation,CL01,CL01-F03C,58.058,-104.405,2020.0,Food,Fish - Trout,Polonium-210,<0.2 Bq/kg fresh weight,1.22 Bq/kg fresh weight
Cigar Lake Operation,CL01,CL01-F03C,58.058,-104.405,2020.0,Food,Fish - Trout,Radium-226,<0.08 Bq/kg fresh weight,5.24 Bq/kg fresh weight 
Cigar Lake Operation,CL01,CL01-F03C,58.058,-104.405,2020.0,Food,Fish - Trout,Thorium-230,<0.2 Bq/kg fresh weight,6.98 Bq/kg fresh weight
Cigar Lake Operation,CL01,CL01-F03C,58.058,-104.405,2020.0,Food,Fish - Trout,Lead-210,<1 Bq/kg fresh weight,2.12 Bq/kg fresh weight
Cigar Lake Operation,CL01,CL01-W01A,58.058,-104.405,2020.0,Water,Lake (surface),Arsenic,0.1 µg/L,5 µg/L
Cigar Lake Operation,CL01,CL01-W01A,58.058,-104.405,2020.0,Water,Lake (surface),Copper,<0.2 µg/L,2 - 4 µg/L
Cigar Lake Operation,CL01,CL01-W01A,58.058,-104.405,2020.0,Water,Lake (surface),Lead,<0.1 µg/L,1 - 7 µg/L
Cigar Lake Operation,CL01,CL01-W01A,58.058,-104.405,2020.0,Water,Lake (surface),Molybdenum,0.8 µg/L,"31,000 µg/L"
Cigar Lake Operation,CL01,CL01-W01A,58.058,-104.405,2020.0,Water,Lake (surface),Nickel,<0.1 µg/L,25 - 150 µg/L
Cigar Lake Operation,CL01,CL01-W01A,58.058,-104.405,2020.0,Water,Lake (surface),Selenium,<0.1 µg/L,1 µg/L
Cigar Lake Operation,CL01,CL01-W01A,58.058,-104.405,2020.0,Water,Lake (surface),Uranium,<0.1 µg/L,15 µg/L
