cell_id,lon_min,lon_max,lat_min,lat_max,center_lon,center_lat,active_bbox_intersections,lapsed_bbox_intersections,lapsed_ids,lapsed_owners,mdi_count,uranium_mdi_count,gold_mdi_count,ree_thorium_mdi_count,base_metal_mdi_count,mdi_names,drillhole_count,rock_sample_count,nearest_anchor,nearest_anchor_km,score,status_note
PLC-241,-109.9,-109.8,58.05,58.1,-109.85,58.075,8,0,,,3,0,0,6,0,"2141:Area 10 Yttrium Showing;5627:Samples 8617, 8625, 8626, 45340;5628:Sample 45150",0,0,Smart Lake,28.7,-39,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-139,-109.6,-109.5,57.7,57.75,-109.55,57.725,5,0,,,0,0,0,0,0,,2,0,JR Zone,11.7,-39.21,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-201,-109.4,-109.3,57.9,57.95,-109.35,57.925,12,0,,,0,0,0,0,0,,2,0,JR Zone,14.8,-39.21,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-215,-109.5,-109.4,57.95,58,-109.45,57.975,8,0,,,0,0,0,0,0,,2,0,JR Zone,16.7,-39.21,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-191,-108.9,-108.8,57.85,57.9,-108.85,57.875,13,0,,,0,0,0,0,0,,5,0,Spitfire,27.7,-39.67,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-084,-109.1,-109,57.5,57.55,-109.05,57.525,6,0,,,1,0,0,0,2,4757:Drill hole SAM 17,1,0,Spitfire,20.1,-40.45,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-103,-108.7,-108.6,57.55,57.6,-108.65,57.575,9,0,,,0,0,0,0,0,,4,0,Spitfire,33.7,-41.12,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-161,-108.9,-108.8,57.75,57.8,-108.85,57.775,7,0,,,0,0,0,0,0,,4,0,Spitfire,21.1,-41.12,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-081,-109.4,-109.3,57.5,57.55,-109.35,57.525,4,0,,,0,0,0,0,0,,1,0,Triple R,12.8,-42.45,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-115,-109,-108.9,57.6,57.65,-108.95,57.625,10,0,,,0,0,0,0,0,,1,0,Spitfire,15.2,-42.45,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-130,-109,-108.9,57.65,57.7,-108.95,57.675,6,0,,,0,0,0,0,0,,1,0,Spitfire,13.3,-42.45,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-200,-109.5,-109.4,57.9,57.95,-109.45,57.925,5,0,,,0,0,0,0,0,,1,0,JR Zone,11.5,-42.45,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-214,-109.6,-109.5,57.95,58,-109.55,57.975,6,0,,,0,0,0,0,0,,1,0,JR Zone,16.2,-42.45,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-176,-108.9,-108.8,57.8,57.85,-108.85,57.825,11,0,,,0,0,0,0,0,,3,0,Spitfire,24,-42.91,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-056,-108.9,-108.8,57.4,57.45,-108.85,57.425,3,2,MC00014557;MC00013808,CAT Strategic Metals Corporation: 100.000%,0,0,0,0,0,,0,0,Spitfire,35.5,-44,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-172,-109.3,-109.2,57.8,57.85,-109.25,57.825,11,0,,,0,0,0,0,0,,0,2,Spitfire,15.3,-44,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-239,-108.6,-108.5,58,58.05,-108.55,58.025,4,2,MC00018646;MC00018650,CANALASKA URANIUM LTD.: 100.000%;Jameila Grace Hope: 100.000%,0,0,0,0,0,,0,0,Spitfire,52,-44,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-240,-108.5,-108.45,58,58.05,-108.475,58.025,2,2,MC00018646;MC00018650,CANALASKA URANIUM LTD.: 100.000%;Jameila Grace Hope: 100.000%,0,0,0,0,0,,0,0,Spitfire,55.3,-44,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-264,-109.1,-109,58.1,58.15,-109.05,58.125,4,2,MC00018557;MC00018575,Stallion Uranium Corp.: 100.000%;CANALASKA URANIUM LTD.: 100.000%,0,0,0,0,0,,0,0,JR Zone,43.1,-44,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-269,-108.6,-108.5,58.1,58.15,-108.55,58.125,2,2,MC00018645;MC00018646,CANALASKA URANIUM LTD.: 100.000%,0,0,0,0,0,,0,0,Spitfire,60.4,-44,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-088,-108.7,-108.6,57.5,57.55,-108.65,57.525,13,0,,,0,0,0,0,0,,6,0,Spitfire,36.3,-44.43,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-242,-109.8,-109.7,58.05,58.1,-109.75,58.075,9,0,,,0,0,0,0,0,,2,0,Smart Lake,30,-45.21,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-259,-109.6,-109.5,58.1,58.15,-109.55,58.125,4,0,,,0,0,0,0,0,,2,0,JR Zone,32.9,-45.21,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-156,-109.4,-109.3,57.75,57.8,-109.35,57.775,9,0,,,0,0,0,0,0,,0,1,JR Zone,12,-46,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-157,-109.3,-109.2,57.75,57.8,-109.25,57.775,9,0,,,0,0,0,0,0,,0,1,Spitfire,10.2,-46,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-171,-109.4,-109.3,57.8,57.85,-109.35,57.825,12,0,,,0,0,0,0,0,,0,1,JR Zone,10.3,-46,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-197,-109.8,-109.7,57.9,57.95,-109.75,57.925,7,0,,,0,0,0,0,0,,0,1,Smart Lake,14.9,-46,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-205,-109,-108.9,57.9,57.95,-108.95,57.925,7,1,MC00018676,MATTHEW J. MASON: 100.000%,0,0,0,0,0,,0,0,Spitfire,28.9,-46,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-206,-108.9,-108.8,57.9,57.95,-108.85,57.925,11,1,MC00018676,MATTHEW J. MASON: 100.000%,0,0,0,0,0,,0,0,Spitfire,32,-46,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-090,-108.5,-108.45,57.5,57.55,-108.475,57.525,4,0,,,0,0,0,0,0,,4,0,Spitfire,45.5,-47.12,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-065,-109.5,-109.4,57.45,57.5,-109.45,57.475,6,0,,,0,0,0,0,0,,0,0,Triple R,19.1,-48,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-066,-109.4,-109.3,57.45,57.5,-109.35,57.475,4,0,,,0,0,0,0,0,,0,0,Triple R,18.4,-48,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-082,-109.3,-109.2,57.5,57.55,-109.25,57.525,5,0,,,0,0,0,0,0,,0,0,Triple R,14.4,-48,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-093,-109.7,-109.6,57.55,57.6,-109.65,57.575,5,0,,,0,0,0,0,0,,0,0,Triple R,18.6,-48,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-100,-109,-108.9,57.55,57.6,-108.95,57.575,10,0,,,0,0,0,0,0,,0,0,Spitfire,18.7,-48,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-108,-109.7,-109.6,57.6,57.65,-109.65,57.625,5,0,,,0,0,0,0,0,,0,0,Triple R,17.2,-48,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-109,-109.6,-109.5,57.6,57.65,-109.55,57.625,3,0,,,0,0,0,0,0,,0,0,Triple R,11.3,-48,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-123,-109.7,-109.6,57.65,57.7,-109.65,57.675,6,0,,,0,0,0,0,0,,0,0,Triple R,17.6,-48,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-124,-109.6,-109.5,57.65,57.7,-109.55,57.675,6,0,,,0,0,0,0,0,,0,0,Triple R,11.8,-48,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-136,-109.9,-109.8,57.7,57.75,-109.85,57.725,8,0,,,0,0,0,0,0,,0,0,Smart Lake,10.8,-48,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-137,-109.8,-109.7,57.7,57.75,-109.75,57.725,7,0,,,0,0,0,0,0,,0,0,Smart Lake,13.7,-48,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-138,-109.7,-109.6,57.7,57.75,-109.65,57.725,6,0,,,0,0,0,0,0,,0,0,JR Zone,13.8,-48,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-173,-109.2,-109.1,57.8,57.85,-109.15,57.825,9,0,,,0,0,0,0,0,,0,0,Spitfire,14.6,-48,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-174,-109.1,-109,57.8,57.85,-109.05,57.825,6,0,,,0,0,0,0,0,,0,0,Spitfire,16.3,-48,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-186,-109.4,-109.3,57.85,57.9,-109.35,57.875,7,0,,,0,0,0,0,0,,0,0,JR Zone,11.5,-48,"Intersects active disposition bbox; only boundary slivers may be open, if any."
