window,cell_id,min_lon,min_lat,max_lon,max_lat,center_lon,center_lat,area_km2,score,tenure_clear,max_au_ppb,au_sample_count,gold_showings_in_cell,drilled_showings_in_cell,advanced_showings_in_cell,nearest_high_au_km,nearest_drilled_or_advanced_km,near_known_core_km
East Slave Lac de Gras-MacKay-McCrea,es_-109.80_63.90,-109.8,63.9,-109.7,63.95,-109.75,63.925,27.23,27,True,2.5,1,0,0,0,9.67,15.1,70.64
East Slave Lac de Gras-MacKay-McCrea,es_-109.70_63.90,-109.7,63.9,-109.6,63.95,-109.65,63.925,27.23,27,True,2.5,1,0,0,0,6.41,12.1,75.44
East Slave Lac de Gras-MacKay-McCrea,es_-109.70_64.50,-109.7,64.5,-109.6,64.55,-109.65,64.525,26.65,27,True,10.0,18,0,0,0,19.99,77.26,87.52
East Slave Lac de Gras-MacKay-McCrea,es_-109.60_63.65,-109.6,63.65,-109.5,63.7,-109.55,63.675,27.48,27,True,2.5,1,0,0,0,7.69,16.75,89.33
East Slave Lac de Gras-MacKay-McCrea,es_-109.60_63.90,-109.6,63.9,-109.5,63.95,-109.55,63.925,27.23,27,True,2.5,1,0,0,0,6.04,10.39,80.25
East Slave Lac de Gras-MacKay-McCrea,es_-109.40_63.75,-109.4,63.75,-109.3,63.8,-109.35,63.775,27.38,27,True,,0,0,0,0,7.84,10.51,93.96
East Slave Lac de Gras-MacKay-McCrea,es_-109.30_63.75,-109.3,63.75,-109.2,63.8,-109.25,63.775,27.38,27,True,2.5,1,0,0,0,5.39,14.72,98.62
East Slave Lac de Gras-MacKay-McCrea,es_-109.30_63.80,-109.3,63.8,-109.2,63.85,-109.25,63.825,27.33,27,True,,0,0,0,0,6.33,13.27,97.02
East Slave Lac de Gras-MacKay-McCrea,es_-111.90_64.45,-111.9,64.45,-111.8,64.5,-111.85,64.475,26.7,26,True,20.0,22,0,0,0,26.04,26.62,34.02
East Slave Lac de Gras-MacKay-McCrea,es_-111.70_64.40,-111.7,64.4,-111.6,64.45,-111.65,64.425,26.75,26,True,2.5,12,0,0,0,17.17,15.54,23.56
